select_cols,type
AB1,ordinal
AB29,cat
AB34,yesno
AC11,cont
AC115,yesno
AC42_P,semi-ordinal
AC46,cont
AC47,unique/cont
AC81C,yesno
ACMDNUM,ordinal
AD37W,cat
AD50,yesno
AE15,yesno
AE2,cont
AE3,cont
AE5,cont
AE7,cont
AG1,semi-ordinal
AG22,yesno
AG3,yesno
AH16,yesno
AH22,yesno
AH33NEW,yesno
AH5,cont
AH81B,yesno
AHEDC_P1,semi-ordinal
AJ133,yesno
AJ134,yesno
AJ136,yesno
AJ152,yesno
AJ168,semi-ordinal
AK1,cat
AK22_P1,ordinal
AK23,cat
AK28,ordinal
AM19,ordinal
AM20,ordinal
AM21,ordinal
AM36,yesno
ASTCUR,yesno
CARE_PV,yesno
CITIZEN2,cat
COVRDCA,yesno
DIABETES,yesno
DOCT_YR,yesno
DSTRS12,yesno
ER,yesno
FAMSIZE2_P1,cont
FAMT4,cat
HGHTI_P,cont
HHSIZE_P1,cont
INSTYPE,cat
MARIT2,cat
PCTLF_P,ordinal
POVGWD_P1,cont
SMOKING,cat
SPK_ENG,cat
SRAA,yesno
SRAGE_P1,ordinal
SRAI,yesno
SRAS,yesno
SRASO,yesno
SRCH,yesno
SRH,yesno
SRJP,yesno
SRKR,yesno
SRO,yesno
SRPH,yesno
SRSEX,yesno
SRTENR,cat
SRVT,yesno
SRW,yesno
TIMEAD_P1V2,ordinal
UR_TRACT6,cat
USUAL5TP,cat
VOTE_PRES16,cat
VOTE_REG,cat
WGHTP_P,cont